id,identifier,category,country_code,text,multi_label,label,text_length
29,@@1306759,women,ca,Farooqui said woman group were demanding fast-track court to deal with rape and other crime against woman .,0,0,113
30,@@8969086,immigrant,my,"`` I have the right family book . Why do they say I 'm an immigrant and order me to pay 50,000 riel a year ? Why do not they acknowledge me a a Cambodian citizen ? They just started this early this year . Why wa not this a thing before ? `` Mr. Yang Ros asked .",0,0,261
31,@@19025195,homeless,bd,"Nearly 110 family made homeless from the blaze are being housed at hotel in west London . Churches and community centre are providing meal and support , and donation of clothing , toy and household supply are flooding in .",0,0,231
32,@@16687353,refugee,my,"Cardinal Tagle , who ha visited refugee settlement a part of his role a Caritas president , said he asks people who express reservation about receiving refugee and migrant , `` Have you ever talked to a real refugee ? Have you heard story of real person ? ``",0,0,266
33,@@8301323,disabled,pk,Arshad said that besides learning many new aspect of sport leadership he learnt how fast-developing nation were using sport a a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .,2,1,244
34,@@24150149,disabled,ng,Fast food employee who fed disabled man becomes internet sensation,3,1,66
35,@@7548760,migrant,za,"The bloc 28 leader will ask Davutoglu government to accept `` large-scale `` deportation of economic migrant from Greece , the main entry point to Europe , and do more to implement a November deal to slow the flow of people into the bloc .",0,0,246
36,@@20493025,homeless,ng,The foundation urged those who are willing to raise fund for the homeless victim to click on the link below for donation .,1,0,123
37,@@3277512,homeless,lk,"A fire that broke out in a labor camp in Al Sailiya on the 8th of May left approximately 300 Sri Lankans , employed at a Janitorial Service Company in Qatar , homeless . They have been provided with temporary lodging after the fire . Expatriates who did not report to work under these circumstance have been arrested by the Qatar authority .",0,0,344
38,@@19143133,hopeless,bd,Rizvi : There will be no joy this Eid < h > ' The citizen of this nation are becoming hopeless ',1,0,95
39,@@24700959,homeless,ke,"FLOODTwo week ago , home and farm were submerged by water , rendering a number of family in Garissa and Tana River homeless .",0,0,130
40,@@980736,immigrant,ie,"Some 800,000 undocumented people are expected to benefit from the policy that will see them receive deferred action from deportation . Undocumented immigrant who arrived in the U.S. under the age of 16 and have lived in the U.S. for more than five year can apply for relief , once they are under the age of 30 .",0,0,313
41,@@20645208,disabled,ca,"Justin Bour led off the ninth with his 22nd homer , and first since a six-week stint on the disabled list . Ramos then gave up four single , including two-out RBI hit by pinch-hitter A.J . Ellis and Ichiro Suzuki .",0,0,215
42,@@4591694,hopeless,jm,Vanessa had feeling of hopelessness in her final day which increased when her cry for help yielded no response from the resident magistrate who placed her in the care of the State . Her letter wa conveyed to this court official by an investigator from the Office of the Children Advocate .,3,1,295
43,@@16948790,poor-families,in,"`` There is food given to poor family here by the government but we have not been able to access it , `` Gwauya mother , Sithela , told the Thomson Reuters Foundation .",0,0,171
44,@@20860277,vulnerable,ng,"Comrade David Kerigbo Ugondo wa born to the family of Late Pa Akerigbo Adikpo and wife , Mrs. Pam Akerigbo Adikpo on the 25th day of October 1950 in Achagh Mbaduku in Vandeikya Local Government of Benue State . His 67th birthday would be 25th of October . A well secured Nigeria gave birth and nurtured Comrade David into 27 year of meritorious service to industry and unionism . It is tragic that an unsecured Nigeria in 2017 made him vulnerable to day-light gunshot on Sunday September 10 , 2017 by criminal armed robber who attacked around Birnin Gwari town of Kaduna State . May God grant him and other victim which included an Army Captain and infant baby eternal rest in paradise .",1,0,692
45,@@4002879,refugee,us,"Currently , what left to the Palestinian people is nothing more than the tiny territory of Gaza Strip , which is a de facto prison of Palestinian refugee , a well a the scattered and isolated village and city of the West Bank .",1,0,236
46,@@8054332,in-need,us,"ORLANDO , Fla. - Are you missing something fuzzy and cute in your life ? Many cat and dog can fill that need and are in need of good home .",0,0,142
47,@@7267604,in-need,nz,More than 750 trolley of food donated to those in need,0,0,55
48,@@21492418,vulnerable,nz,"Deans now life in Japan and previously coached the Wallabies but remains a staunch Kiwi . Asked to ass whether the All Blacks were vulnerable at present , he gave an empathic response .",0,0,189
49,@@23188586,immigrant,gh,"The US Senate much-touted freewheeling immigration debate failed to materialize Tuesday , raising prospect of Congress and President Donald Trump falling short in striking a deal on border security and the legalization of young immigrant .",0,0,244
50,@@22222249,disabled,ph,"Before April 2005 , the official definition of the unemployed wa those who did not work during the reference week and are looking for work . However , from April 2005 onwards , the official definition wa refined a follows : not working , looking for work , and available for work . It subtracts those who are looking but not available for work and add those available but not looking for work for the following reason : tired/believe no work is available , awaiting result of a job application , temporarily ill/disabled , bad weather , and waiting for rehire/job recall .",0,0,578
51,@@14015696,hopeless,nz,"Number 3 : We 're not all weird hippy living off the grid . In fact , I 'd wager that the most business-savvy , conventional people are filling up small town NZ . After all , it the place to be if you are a young person looking to get into the housing market . And we are eternally grateful to the economist who constantly tell Auckland young people that the case for home-ownership is hopeless , instead of encouraging them to look elsewhere . It mean le competition for home where we live . That mean that when we do buy , the mortgage are manageable which mean -- you guessed it -- yet another reason we 're all ageing well .",0,0,644
52,@@9925501,disabled,ca,"In line with the Modi government mission `` Accessible India , Empowered India `` , together with the `` National Policy for Persons with Disabilities `` and the `` UN Convention on Rights of Persons with Disabilities `` , the code ha for the first time made elaborate provision for making building and public place accessible to million of disabled and elderly person . The code for barrier-free built environment will be applicable to all form of public housing by government and private builder .",0,0,504
53,@@15319429,women,bd,"The 2015 study state that 97 % of woman see sexual harassment a a form of violence . In addition , another 85 % of woman feel disparaging remark are insulting and offensive .",0,0,175
54,@@18760930,disabled,ke,A court ordered an oil company to pay a former employee Sh5.7 million for sacking him because he wa disabled .,0,0,111
55,@@9305263,disabled,jm,"Over the past 15 year , the show ha handed over more than $ 50 million to the Mustard Seed Communities to assist with the care of more than 400 abandoned , disabled , HIV/AIDS-affected child , and pregnant teenager being accommodated in it 12 home across the island . < h > ADVERTISEMENT",1,0,292
56,@@9890957,homeless,nz,"People who are homeless , those who were once homeless , those working with the homeless and concerned New Zealanders are being asked to share their experience and solution to this growing issue with the Cross-Party Homelessness Inquiry . More & gt ; & gt ;",0,0,253
57,@@925986,migrant,gb,She said : ' It may be the fact that immigrant from East European country are better educated and more attached to the labour market than the native population .,1,0,164
58,@@3224696,homeless,lk,He said that they have witnessed the tragedy the people of Nepal are currently experiencing . He went on to state that it is an emotional time for all . He said that thousand have lost their life owing to this earthquake while many have been rendered homeless and destitute .,0,0,277
59,@@15973393,in-need,ng,"We have been a leader on so many front , not just on this continent but also in the world -- from our attainment of independence , to our development of a democracy that maintains at it core a pledge of stability and a respect for the rule of law , to our formation of much-needed peacekeeping and other humanitarian mission for other nation in need .",0,0,355
60,@@20227078,homeless,ke,"Life on the street , she remark , wa really no different from home , where she often slept hungry or out in the cold when the landlord locked them out . Awino will therefore always be grateful to that kind man who came to her rescue and took her to Boma Rescue Center , a home that provides temporary shelter for homeless child .",1,0,335
61,@@16668574,poor-families,gh,Mwesigwa said ' Youth have to learn lesson from good example of Heroes who contributed in the liberation struggle . ' The Community Service wa conducted at Cell level in all Districts of Rwanda last Saturday morning with thousand of youth participant to clean school and make renovation of house for poor family .,1,0,321
62,@@50048209,vulnerable,gb,"' I can say that at fifty-three , but when I wa nineteen or twenty I wa vulnerable . I didn ? ? ? t know better . ' ?",0,0,119
63,@@18615742,migrant,gh,They told all immigrant worker who desire to return to their country or community a a result of joblessness and ha become stranded due to the government policy to depart peacefully and safely without fear of intimidation at the destination point of entry and arrival .,0,0,280
64,@@13699547,migrant,ke,"By AGENCE FRANCE PRESSE , Brussels , Belgium , Aug 5 -- Fears are mounting in the European Union that it months-old pact with Turkey to curb migrant flow could collapse a a rift deepens over Ankara crackdown following a failed coup .",0,0,239
65,@@15172256,homeless,ca,"The homeless shelter provides a secure environment to sleep at night but nothing can be left there during the day , even if the individual is returning that night . The Champion Centre now offer a locked room with shelf where personal item can be stored , said Schnee . Lockers with a lock and key would be preferable .",0,0,323
66,@@9492573,migrant,pk,"In January 2015 , Fico had stated that Slovakia will not be able to bear entry of hundred of thousand of Muslim migrant who would construct mosque across the state and would transform the value and tradition of the country .",0,0,230
67,@@2055117,poor-families,za,Masemola said the student were all from poor family and had lost a lot of money preparing for the trip .,0,0,107
68,@@3295868,vulnerable,ph,"`` Data center are especially vulnerable here in the Philippines because of the increased possibility of fluctuation and outage , `` say Santos .",0,0,147
69,@@3571432,refugee,au,"Developing country shoulder the most significant burden , hosting around 86 % of the world refugee , compared to 70 % ten year ago . Turkey , Lebanon and Pakistan each host more than 1 million refugee . < h > Verdict",0,0,220
70,@@40022298,migrant,sg,Italy sharply criticised new U.N . human right chief Michelle Bachelet on Tuesday after she announced she would send investigator to the country to check report of racism and violence against migrant .,0,0,205
71,@@21860657,women,sg,"But how often should we shave if we no longer have in-between day ? Well , we are all born different and so is our hair . Everyone hair grows differently so there is no right or wrong answer a to how often we should shave . Some woman do it every day , while others have the privilege of waiting longer in-between shave . As time go by , we will slowly no more about our body and eventually find the right schedule that work . < h > 4 ) ' I can shave without water when I 'm in a hurry '",0,0,494
72,@@19441106,migrant,my,He said the maximum punishment should be imposed to make them realise the department wa serious about the employment of illegal immigrant following sufficient time having been given to them ( employer ) to register their worker under the E-Card programme which expired on June 30 .,0,0,285
73,@@25665376,refugee,hk,"Many suffered in appalling condition in detention centre , set up to deal with the influx of migrant , a public opinion turned to `` refugee fatigue . `` The original camp were open and allowed inhabitant to work in Hong Kong and travel freely , but by 1982 , the opposite wa in effect , and refugee languished in `` closed `` detention centre , sometimes for year .",0,0,372
74,@@20827089,homeless,nz,"In the past month , four major hurricane -- Category 3 or higher -- have churned through the Caribbean and Atlantic Ocean . Hurricanes Irma , Jose , Katia and Maria caused major damage to island nation in the Caribbean , a well a continental North and Central America , devastating the life of million of people and leaving hundred of thousand homeless and displaced .",0,0,376
75,@@10016647,vulnerable,gb,"Chief inspector Nicola Shepherd , who led the investigation , said : `` For a number of year these men , who were placed in a position of trust , carried out prolonged abuse on a significant number of vulnerable young people .",0,0,226
76,@@18327302,vulnerable,za,"' ' No human being should go through this kind of ordeal . The security agency and state government should continue to provide special protection to educational institution vulnerable to this kind of outrage especially in remote area , ' ' he said .",0,0,254
77,@@22454828,homeless,nz,"In September , Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the homeless problem .",3,1,129
78,@@17256815,women,lk,"But Prabha wa one of the few fortunate woman to have a lot of family support . `` My husband , parent and sibling all stood by me throughout those difficult time . My husband wa a great support . He would segregate my medicine and staple together the required dosage to be taken at a time , so that I did not over or under eat any medicine . Family support is very crucial , because then you can damn the world . If the family psychological support is not there , no amount of outside support can help . Adherence is the key word and it is the family who can take the patient to complete the treatment journey . I wa a psychologist ; yet none of my coping mechanism worked . Just imagine the plight of those patient who have no treatment literacy and other support `` , she said .",1,0,790
79,@@15019103,vulnerable,ng,"He said : `` To neutralise the attraction of terror ideology among our youth and other vulnerable person , the International Community led by United States of America must support Nigeria to fight corruption , repatriate stolen fund and get out of economic recession a quickly a possible .",0,0,292
80,@@20105190,poor-families,my,"For SJKC Chung Hua Sibuti , the Maybank volunteer helped repaint the building wall , repaired broken door frame at the school toilet , donated uniform to 10 schoolchildren from poor family a well a four iron rack and 10 box of A4 paper to the school .",0,0,267
81,@@18579949,refugee,ie,"Yet the report said refugee and migrant get far more attention than the million displaced inside their country by conflict , violence and disaster .",0,0,154
82,@@16649916,vulnerable,pk,"Starbucks is vulnerable to international consumer protest against Trump policy because it ha a significant , very visible global footprint in 75 country .",0,0,160
83,@@4672144,homeless,pk,"The demographic of Pakistan and India are very similar . Poverty is a widespread issue . According to the FAO , 40 percent of child in Pakistan are malnourished and underweight due to lack of access to adequate food . And this is not because there is not enough ; Pakistan is the 8th largest food producing country , however , 50 percent of the population is food insecure . With the massive income inequality that persists , RHA is a brilliant movement . We collect leftover or extra food from restaurant and distribute it to the homeless and hungry in the locality .",3,1,573
84,@@4608429,vulnerable,pk,"Nevertheless , the schism within the Ahmadiyya community and Mirza Muhammad Ahmad unabashed claim left the movement vulnerable against accusation of being heretical .",0,0,171
85,@@25504610,women,ie,"Vaila Barsley play in Sweden for Eskilstuna United and represented England at youth level , although she ha gone on to become an international with the Scotland woman team .",0,0,178
86,@@3876235,refugee,ca,The refugee are staying with a family in Cowichan Bay until moving into their own accommodation in Duncan .,0,0,108
87,@@22011888,hopeless,my,"`` Ecological conversion `` call for a change in our lifestyle . This mean that true transformation of the world must come from within each one of u , not from without . We must choose sacrifice over want , sharing over greed , and serving the common good of all creation over convenience . Only then can we truly be Disciples of Hope in a seemingly hopeless situation .",0,0,371
88,@@4789100,in-need,ie,"Freeman aim is to open a Pieta House service in Queens ' New York Irish Center within 6-8 month which will provide mental health counseling for the Irish in need within the greater New York City area . They have also been in contact with Irish center in Boston , Chicago and D.C. about expansion .",0,0,302
89,@@3317664,poor-families,au,`` Unbelievable . They 're pitting two poor family against each other and making them feel guilty about helping somebody for our entertainment ? ``,0,0,147
90,@@3085929,in-need,za,"Skin needling is a safe and precise way to traumatise the skin to stimulate collagen , based on the above principal . It result in a smoother , firmer and younger looking skin .",0,0,178
91,@@22447789,disabled,hk,"However , this year he met a group of enthusiastic disabled runner a well Paralympic Games competitor at an event in Hong Kong .",0,0,131
92,@@16707961,refugee,au,"During call with Australian PM on refugee , Trump pulled phone away from ear and say he want off call , which end abruptly per source .",0,0,139
93,@@1852200,in-need,tz,"Most African flag independent States are under economic oppression , a bondage which is not very different from the colonial rule of the 1900 -- 1970 world . This modern world is a world in the midst of economic dependence and a lot of people in need of help . In other word the political environment under neo-colonial rule of today is not different from the political environment during colonial time where the struggle for independence began .",0,0,450
94,@@4654878,immigrant,jm,"The section state : `` The following Commonwealth citizen ( not being person deemed to belong to the Island a defined by sub section ( 2 ) of section 2 ) are prohibited immigrant . ( h ) any person who , from information or advice which in the opinion of the Minister is reliable information or advice , is deemed by the Minister to be an undesirable inhabitant of or visitor to the island . ``",0,0,397
95,@@9746788,immigrant,au,"Careful here . The way society ha changed ha upset many people and we unfairly mock these concern . Seemingly unrestricted immigration with no effort at community building is objectively a bad thing . The breakdown of community is validly distressing to some people . When you have an obsession with identity politics , everybody having multiple and conflicting loyalty , this trouble some people . A strong society is one where we are all committed to common value and goal . Yes we live in a pluralistic society , but the desire for cultural connection run just a strong in Anglo-Saxon Australians a it doe for fresh off the plane immigrant . < h > Socrates :",0,0,673
96,@@70055048,women,us,"In the wake of the sexual-assault allegation against Supreme Court nominee Brett Kavanaugh , reporter began to more closely examine his time at Yale . As an undergraduate , he wa a member of Delta Kappa Epsilon , a well-known `` party frat `` that rose to national infamy in 2011 after video circulated of recruit chanting , `` No mean yes , yes mean anal . `` After graduation , he went on to clerk for the now-disgraced Judge Alex Kozinski , who retired last yearafter more than 15 woman accused him of subjecting them to unwanted , inappropriate sexual behavior for year . ( Kavanaugh claim he had no knowledge of Kozinski alleged misconduct , but skeptic find that unlikely . )",0,0,690
97,@@4635069,poor-families,jm,"`` The Government , in it drive to ensure the inclusion of vulnerable group in the productive workforce ( is ) making provision for the participation of working-aged adult in the labour market , who are from poor family in receipt of welfare assistance , `` he said .",0,0,270
98,@@15438640,immigrant,pk,The Golden State is home to the country largest number of illegal immigrant -- an estimated 2.4 million -- and official say member of the community are terrified since the mogul pulled off one of the most improbable presidential win in modern history on November 8 .,0,0,273
99,@@25281193,in-need,my,The departure from London will barely put a dent in S & amp ; P overall presence in Europe main financial centre . But Peterson warned Britain needed to provide clarity on key post-Brexit regulatory arrangement to ensure there is not more upheaval .,0,0,253
100,@@9531208,migrant,ph,"`` Filipino seafarer have been given inadequate attention in our society . Despite incident of abduction , unjust compensation and on-board accident that have been reported , no legislation ha been passed to protect and uphold their right . Most of the policy and program catering to the need of migrant worker are designed for land-based worker , `` the Senator stressed .",0,0,382
101,@@18575081,in-need,bd,"According to Jim Gouveia , a licensed clinical social worker and a counselor at CAPS , the purpose of gatekeeper training is to educate people to be aware of the sign and symptom of suicide , how to ask the question , `` Have you thought about suicide ? `` and how to get mental health help and assistance for those in need .",0,0,326
102,@@20277745,refugee,za,"When asked how government should respond to the global refugee crisis , more than half ( 55.4 % ) claimed that more should be done to include refugee in the national workforce . Just 3.5 % said that refugee should be deported .",0,0,228
103,@@3525243,migrant,au,"the country is one of the largest source of migrant arriving on Europe shore , despite a total population smaller than that of London . Adjusted for it population , a larger proportion of Eritreans arrive than Syrians or Afghans .",0,0,237
104,@@14849953,refugee,nz,Dr Nina Zimmerman wa contracted by the United Nations to visit Nauru in April and gauge the level of mental disorder within the thousand refugee marooned there .,0,0,163
105,@@4678368,hopeless,pk,"Satisfaction lie in permitting others to live , not living others ' life . Never try to clutch someone else ' share , always reproduce your own complexion and gore . People swallowed helpless and hopeless but still sobbed due to plea of their conscience . I have grasped and wiped those tear who were the reason of their own cause .",1,0,335
106,@@19981947,women,za,"Join the Girl Power Ministry in worship < h > Prophet Bongi Ndimande , president of the Girl Power Ministry ( GPM ) , invite woman and girl to the sixth annual conference of GPM that will be held at the Sasol Kinross Club from 25 to 26 August .",0,0,244
108,@@4656992,vulnerable,jm,It identifies barrier to reproductive health and right and state : `` Adolescents are particularly vulnerable because of their lack of information and access to relevant service in most country . ``,0,0,202
109,@@17322530,immigrant,in,"`` Right now , only about one out of 15 immigrant that we admit to this country every year come based on those criterion . The President ha said in public , a he told u yesterday , that he want to move in the direction of , for instance , Canada and Australia , and focused on more of what he call a merit-based system . Our legislation is the first step in that , `` he said .",0,0,380
110,@@4846254,immigrant,us,Many of the worker are immigrant who do not speak English and have little formal education .,0,0,94
111,@@7849643,in-need,nz,"Aussie blogger Constance Hall ha raised more than $ 150,000 with the help of her ' Queens ' to help Kenyan girl in need .",1,0,122
112,@@25160721,homeless,sg,"She ha turned her modest home into a safe haven for the vulnerable , especially the elderly who find themselves homeless and living on the street .",1,0,149
113,@@17683925,vulnerable,pk,"ISLAMABAD : Pakistan , which is ranked a the seventh most vulnerable country , despite it le than one per cent contribution to climate altering global emission , ha now what we call a `` climate change law `` after the enactment of the Pakistan Climate Change Act of 2016 . Like many others , being a humble student of law , political science and chemical/environmental engineering , I consider it a a meaningful legislation on climate change .",0,0,449
114,@@25687572,migrant,za,"On 9 June , the Aquarius , a ship carrying 629 refugee rescued in the Mediterranean , wa refused the right to dock in Italy . This is part of a wholesale attack launched by Salvini on humanitarian rescue ship operated by NGOs . Since then , other NGO ship have been refused entry . In a shocking move -- and in clear violation of international and national law -- the Italian coast guard is now unwilling to intervene when called for help to rescue immigrant and refugee at risk of drowning in Libyan water .",0,0,516
115,@@22756125,in-need,sg,"Mr Tan noted that PSA ha performed reasonably well against the challenging backdrop and tough competition . `` In addition , we are also preparing for a future where logistics and supply chain need are transformed by new technology , trade , manufacturing and e-commerce dynamic , `` he said .",0,0,294
116,@@24205211,poor-families,sg,Sister Yosephina said human trafficker exploit poor family from rural area by tricking them into thinking they are sending their daughter off to a better job and a better life .,0,0,182
117,@@21706143,immigrant,ke,"The pioneer Shona immigrant , though recognized by Kenya ? s founding father , were never granted citizenship , a situation that ha continued to date .",0,0,154
118,@@24885862,in-need,za,"This is the rhetoric of what anthropologist Laura Agust ? n call the `` rescue industry `` - a term used to describe people and institution who conceptualize all sex worker a victim in need of saving . Catherine MacKinnon ha argued , for example , that `` in prostitution , woman have sex with men they would never otherwise have sex with .",4,1,343
119,@@23479041,homeless,au,"The bill reveals just how much library , which are open to the public and welcome homeless people , have had to cope with the crisis : Library worker in town and city across New York describe finding used syrinx and glassine envelope in doorway and patron slumped over in bathroom .",0,0,294
120,@@17633092,migrant,ng,"Though criticised by some liberal for his anti-immigrant nationalist stance , Navalny ha tapped into discontent among the young urban middle class with fiery speech and Western-style campaigning .",0,0,200
121,@@9472338,refugee,lk,"`` The old card doe bring a lot of problem and we hope the new one , which ha enhanced security feature , will help in the management of refugee in the country , `` he said .",0,0,177
122,@@7348632,refugee,au,"Kate and Julian are one of Melbourne most prominent couple through their work in the law , art and refugee advocacy . They launched Spare Rooms for Refugees and have welcomed seven asylum seeker into their home for extended period . The couple ha worked hard on the cause for 14 year . `` It ha demanded a lot of time , `` say Julian . `` Without Kate continued enthusiasm for the idea it would not have been possible for me to keep doing it . `` Julian say it ha changed his life hugely . `` I would say it been one of the big , big turning point in my existence . ``",0,0,583
123,@@20841654,women,nz,"Could it be that these woman understand , like few others , what it is to be valued for their appearance above and beyond anything else ? Might they realise that without their appearance , they have no brand , no iconic status , no clout ? For proof , you can google Evangelista , who wa quickly hunted down by paparazzo that same week , and the cruel way in which she wa described in headline .",0,0,399
124,@@2599892,immigrant,hk,"The ruling by the judge , released Thursday , said that would-be immigrant `` have no right to force `` the government to fulfill the promise of the Investor Immigration Program that wa canceled in February despite having around 60,000 application outstanding .",0,0,262
125,@@21983572,immigrant,my,"Many have brought story of horrific abuse at the hand of the Myanmar military and local Buddhist mob , including rape , arson and murder . Myanmar regard them a illegal immigrant from Bangladesh and refuse them citizenship .",0,0,233
126,@@7205684,poor-families,nz,"The change to be implemented from April 1 will increase the In Work Tax Credit part of WFF to $ 72.50 per week . When work is insecure , and hour are irregular poor family may not meet the condition to access this important weekly payment for their child . Those on benefit likewise do not qualify . To make serious cost-effective inroad into child poverty , CPAG urge the government to extend this tax credit to all low income family .",0,0,448
127,@@24638267,in-need,za,Cook go down holding his ankle and is in need of treatment .,0,0,62
128,@@9921472,immigrant,ie,"Bouhlel certainly match the classic profile of French violent Islamic extremist in many way - though he is a relatively recent arrival rather than born in the country of immigrant parent , a is more usually the case .",0,0,222
